id,vrsta,naziv,tip_ucinka,kvalitativna_vjerojatnost,kvalitativni_utjecaj,vjerojatnost,cilj,minimum,najvjerojatnije,maksimum,ukljucen,obrazlozenje
T7,Prijetnja,Nejasno tržišno pozicioniranje ili potražnja,glavni,Niska,Visok,0.15,A5.1,0.25,0.75,1.5,True,Dodatna tržišna analiza i prilagodba strategije komercijalizacije mogu produljiti A5.1.
T8,Prijetnja,Problemi koordinacije projekta,glavni,Niska,Srednji,0.15,A2.1,0.1,0.2,0.4,True,"Kašnjenje odluka, potvrda, razmjene informacija ili primopredaje između projektnih tokova može produljiti aktivnosti koje ovise o koordinaciji više partnera ili o rezultatima prethodnih aktivnosti."
T8,Prijetnja,Problemi koordinacije projekta,dodatni,Niska,Srednji,0.15,A3.1,0.1,0.25,0.5,True,"Kašnjenje odluka, potvrda, razmjene informacija ili primopredaje između projektnih tokova može produljiti aktivnosti koje ovise o koordinaciji više partnera ili o rezultatima prethodnih aktivnosti."
T8,Prijetnja,Problemi koordinacije projekta,dodatni,Niska,Srednji,0.15,A3.2,0.1,0.25,0.5,True,"Kašnjenje odluka, potvrda, razmjene informacija ili primopredaje između projektnih tokova može produljiti aktivnosti koje ovise o koordinaciji više partnera ili o rezultatima prethodnih aktivnosti."
T8,Prijetnja,Problemi koordinacije projekta,dodatni,Niska,Srednji,0.15,A4.1,0.1,0.25,0.5,True,"Kašnjenje odluka, potvrda, razmjene informacija ili primopredaje između projektnih tokova može produljiti aktivnosti koje ovise o koordinaciji više partnera ili o rezultatima prethodnih aktivnosti."
T8,Prijetnja,Problemi koordinacije projekta,dodatni,Niska,Srednji,0.15,A5.1,0.1,0.3,0.6,True,"Kašnjenje odluka, potvrda, razmjene informacija ili primopredaje između projektnih tokova može produljiti aktivnosti koje ovise o koordinaciji više partnera ili o rezultatima prethodnih aktivnosti."
T8,Prijetnja,Problemi koordinacije projekta,dodatni,Niska,Srednji,0.15,A5.2,0.1,0.3,0.6,True,"Kašnjenje odluka, potvrda, razmjene informacija ili primopredaje između projektnih tokova može produljiti aktivnosti koje ovise o koordinaciji više partnera ili o rezultatima prethodnih aktivnosti."
T9,Prijetnja,Nedovoljna skalabilnost prototipa,glavni,Niska,Visok,0.15,A3.2,1.0,2.0,4.0,True,Problem skalabilnosti može zahtijevati arhitekturne dorade prototipa i zatim dodatno testiranje i ponovnu validaciju.
T9,Prijetnja,Nedovoljna skalabilnost prototipa,dodatni,Niska,Visok,0.15,A3.1,0.5,1.0,2.0,True,Problem skalabilnosti može zahtijevati arhitekturne dorade prototipa i zatim dodatno testiranje i ponovnu validaciju.
P1,Prilika,Ranija dostupnost tržišnih i partnerskih podataka,glavni,Srednja - procjena autorice,Srednji - procjena autorice,0.45,A5.1,0.25,0.5,1.0,True,Raniji tržišni i partnerski podatci mogu ubrzati razvoj strategije suradnje te u manjoj mjeri olakšati završnu diseminaciju i umrežavanje.
P1,Prilika,Ranija dostupnost tržišnih i partnerskih podataka,dodatni,Srednja - procjena autorice,Srednji - procjena autorice,0.45,A5.2,0.1,0.25,0.5,True,Raniji tržišni i partnerski podatci mogu ubrzati razvoj strategije suradnje te u manjoj mjeri olakšati završnu diseminaciju i umrežavanje.
